Unnamed: 0,category,string
12,business,struggling japanese car maker mitsubishi motors struck deal supply french car maker peugeot 30000 sports utility vehicles suv firms signed memorandum understanding expect seal final agreement spring alliance comes badlyneeded boost lossmaking mitsubishi several profit warnings poor sales suvs built japan using peugeots diesel engines sold mainly european market falling sales left mitsubishi motors underused capacity production deal peugeot gives chance utilise january mitsubishi motors issued profits warning nine months cut sales forecasts march sales slid 41 past catalysed revelation company systematically hiding records faults secretly repairing vehicles result japanese car maker sought series financial bailouts month looking further 540bn yen 52bn 277bn fresh financial backing half companies mitsubishi group usgerman carmaker daimlerchrylser 30 shareholder mitsubishi motors decided april 2004 pump money deal peugeot celebrated mitsubishis newlyappointed chief executive takashi nishioka top bosses stood month shoulder responsibility firms troubles mitsubishi motors forecast net loss 472bn yen current financial march month signed production agreement japanese rival nissan motor supply 36000 small cars sale japan making cars nissan
13,business,daily sunday telegraph newspapers axing 90 journalist jobs 17 editorial staff telegraph group says cuts needed fund 150m investment printing facilities journalists firm met friday afternoon discuss react surprise announcement cuts background fierce competition readers sluggish advertising revenues amid competition online advertising national union journalists called management recall notice redundancy midday monday face strike ballot pearsons financial times offering voluntary redundancy 30 reporters national union journalists stood strongly behind journalists rule strike managers torn agreed procedures kicked staff teeth sacking pay printing facilities jeremy dear nuj general secretary nuj official barry fitzpatrick company ignored 90day consultation period required companies planning redundancies shown complete disregard consultative rights members fitzpatrick company planned observe consultation procedures telegraph titles currently employ 521 journalists broadsheet newspapers especially moved tabloid format suffered circulation declines hitting revenues telegraph announced plans tabloid although both independent times seen circulation rise shrinking size guardian hedging bets planning larger tabloid format popular continental europe telegraph group bought barclay twins frederick david having previously owned lord conrad blacks hollinger international brothers currently mulling sale businesses retailer littlewoods telegraph executive murdoch maclennan newspapers add eight colour pages coming months journalists lifeblood newspaper maintaining quality daily telegraph sunday telegraph readers vital however action improve production capability secure titles competition vital newspapers investing printing machinery enables print colour pages cases colour every page hoping boosting colour publications attractive advertisers readers alike recent months news corps news international unit publishes sun news world guardian media group trinity mirror daily mail general trust announced substantial investments printing plants
14,business,air passengers unable board flights overbooking cancellations flight delays demand greater compensation eu rules set compensation 250 euros 173 600 euros depending length flight rules apply scheduled charter flights budget airlines airlines attacked legislation saying forced push prices higher cover extra cost european commission facing legal challenges european lowfare airlines association elaa international air transport association iata attacked package bad piece legislation previously passengers claim 150 euros 300 euros stopped boarding however scheduled flight operators obliged offer compensation cases overbooking offer compensation flight cancellations eu decided increase passenger compensation bid deter airlines deliberately overbooking flights overbooking often lead bumping passenger moved later flight happens passengers airlines offer compensation addition flight cancelled delayed hours through fault airline passengers must paid compensation however airlines offer compensation flights cancelled delayed due extraordinary circumstances airlines fear extraordinary circumstances include bad weather security alerts strikes events outside control eubased airlines operators flights eu adhere compensation regime force thursday lowcost airlines criticised compensation levels arguing payout worth ticket preposterous piece legislation among airlines fighting ryanair deputy chief executive michael cawley radio 4s today programme european regions airline association eraa claims neither airlines nor consumers consulted changes andy clarke eraa director air transport ec advice misleads customers leads believe airlines liable payouts flights delayed bad weather ec spokeswoman marja quillinanmeiland conceded grey areas these airlines making cases dispute national enforcement bodies decide whether passenger case technology means easier airlines land bad weather eraas clarke warned airlines comply rules extra costs passed onto passengers reckon cost european air passengers airlines airlines money paid passengers 15bn euros thats 1bn loaded onto european passengers clarke thats basically transfer money passengers whose journeys disrupted passengers whose journeys disrupted wednesday jacques barrot vice president european commission commissioner transport changes necessary boom air travel needs accompanied proper protection passengers right concrete example union benefits peoples daily lives ec launched information campaign airports travel agencies inform airline passengers rights
15,business,chinas efforts stop economy overheating clamping credit continue state media report curbs introduced earlier ward risk rapid expansion might lead soaring prices fears stress might placed fragile banking system growth china remains breakneck 91 corporate investment growing 25 breakneck pace economic expansion kept growth above 9 rapid toolingup chinas manufacturing sector means massive demand energy factors kept world oil prices skyhigh theory government 7 growth target continues insist overshoot does mean hard landing shape overbalancing economy low exchange rate chinas yuan pegged rate 828 dollar seems relentless decline means chinese exports cheap world markets china thus far resisted international pressure break link least shift level peg extent credit controls seem taking effect industrial output grew 157 october 23 february inflation slowed 43 although retail sales booming
16,business,parmalat italian food group centre europes painful corporate scandals reported doubling profit pretax earnings fourth quarter 77m euros 53m 100m 38m period less welcome news firm fined 11m euros having violated takeover rules years ago firm sought bankruptcy protection december disclosing 4bneuro hole accounts overall companys debt close 12bn euros falling slowly brands wellknown italy overseas continued perform strongly however barely lost revenue scandal broke crucial factor companys future legal unwinding intensely complex financial position tuesday companys administrator turnaround expert enrico bondi sued morgan stanley former banker return 136m euros relating bond deal brought 49 number banks bondi sued mass legal action bring 3bn euros company sued former auditors financial advisors damages criminal cases companys former management proceeding separately
17,business,indias rupee hit fiveyear high standard poors sp raised countrys foreign currency rating rupee climbed 43305 per dollar thursday close 4341 currency gained almost 1 past sessions sp rates borrowers creditworthiness lifted indias rating notch bb indian assets seen less gamble cash expected flow markets buoying rupee upgrade positive basically excuse india bhanu baweja strategist ubs money moved india weeks january markets korea thailand upgrade lead reversal indias foreign currency rating notch below investment grade starts bbb increase level romania egypt el salvador level below russia
18,business,india raised limit foreign direct investment telecoms companies 49 74 communications minister dayanidhi maran need fund fastgrowing mobile market government hopes increase number mobile users 95 200 250 2007 need least 20bn 106bn investment part foreign direct investment maran decision raise limit foreign investors faced considerable opposition communist parties give crucial support coalition headed prime minister manmohan singh potential foreign investors however need government approval increase stake beyond 49 maran key positions chief executive chief technology officer chief financial officer held indians analysts investors welcomed government decision positive development carriers investment community looking longerterm view huge growth indian telecoms market gartners principal analyst kobita desai fdi relaxation coupled rapid local market growth ignite interest indian telecommunication industry ernst youngs sanjay mehta investment bank morgan stanley forecast indias mobile market likely grow 40 until 2007 indian mobile market currently dominated companies bharti televentures allied itself singapore telecom essar linked hong kongbased hutchison whampoa sterling group tata group
19,business,customers trying through call centres getting impatient quicker hang survey suggests once past welcome message callers average hang 65 seconds listening canned music drop patience comes number calls call centres growing rate 20 every customers getting idea always available society says cara diemont firm dimension data commissioned survey however call centres saw sharp increase customers simply abandoning calls says 5 record 133 automated phone message systems taken equation customers pick through multiple options messages number abandoned calls higher sixth callers give rather wait possible reason lack patience ms diemont says fact customers calling using mobile phones surge customers trying through call centres reflection centres growing range tasks once call centre looked mortgages agents responsible credit cards insurance current accounts ms diemont says problems occurring increased responsibility handinhand training survey found dimension data calls alarming development average induction call centre worker fell 36 21 days leaving agents equipped deal customers ms diemont warns scary bottom line either poor training frustrates both call centre workers customers result call centres high churn rate nearly quarter workers throwing towel every turn forces companies pay training staff resolution rates number calls customers query resolved mutual satisfaction running 50 query passed second person specialist manager rates rise 70 below industry target 85 resolution rate suggestions outsourcing relocating call centres lowcost countries india south africa blame wrong ms diemont says differences wait call resolution call centres based europe north america developing countries world call centres perform anywhere management right processes place says however companies decide offshore operations driven cost considerations 42 saving money main consideration closing domestic call centre operations half argue workers countries offer better skills money everybody believes outsourcing offshoring solution nearly twothirds firms polled survey plans offshore call centres give key reasons making call centre operations part business core function worried risk abroad fear damage brand join offshoring drive survey conducted sunovate behalf dimension data based indepth questionnaires 166 call centres 24 countries continents your experiences call centres happy listen vivaldi greensleeves immediate response work call centre your training prepare your job
20,business,leisure group rank unveil plans demerge film services unit sell media business reports claim rank formerly famous carry series expose shakeup announcement results friday sunday telegraph reported advisors goldman sachs understood valued demerged deluxe film unit 300m report speculation possible shakeup mounted rank announced study possible demerger september mike smiths appointment chief executive 1999 group focused fewer businesses embarked major costcutting programme seen dispose number businesses odeon cinema chain pinewood studios left group core divisions gaming hard rock deluxe films provides technical services hollywood studios rank aims concentrate gaming bars hotels business extending hard rock brand casinos trials success owns deluxe media makes distributes dvds videos however business seen less successful profits 215m turnover 3921m experts suggest success moving dvds vhs video attractive target private equity buyer spokesman firm refused comment reports results demerger study likely set unveiled results friday analysts predict firm likely report slight drop annual pretax profits 170m 194m formed 1940s firm leading uk film producer cinema owner years diversified range leisure activities mainly uk hotels roadside service areas holiday centres owns 34 grosvenor casinos mecca bingo chain 100 hard rock cafes 38 countries
21,business,number work europes largest economy risen tenth straight month growth remains stubbornly slow german unemployment rose 7000 november 4464 108 workforce seasonally adjusted rise showed smaller rise expected government measures encourage job creation began effect officials stagnant growth stifling job market clear signs revival domestic demand frankjuergen weise head federal labour agency statement growth 01 quarter insufficient deliver positive momentum labour market high oil prices soaring euro damages competitiveness exporters having negative effect brunt unemployment felt eastern part germany rate 188 unemployment stuck above 4 years government chancellor gerhard schroeder job creation top agenda controversial package measures shake incentives work paid cutting cherished benefits sparked anger among german workers strikes number industries notably among countrys iconic carmakers demonstrated displeasure fears further job losses outsourcing takes hold among initiatives socalled oneeuro jobs top unemployment benefit schemes formal launch january hirings these positions taking place affecting unemployment statistics economists deterioration labour market does surprise isabelle kronawitter hypovereinsbank job creation measures probably prevented stronger increase seasonally adjusted numbers
22,business,french economy picked speed end 2004 official figures looks set fallen short governments hopes according state statistics body insee growth months december seasonallyadjusted 0708 ahead 06 forecast confirmed quarterly showing early 2002 leaves gdp 23 full short 25 french government predicted apparent shortfall annual economic growth quarterly figures socalled flash estimate mark continuing trend improving indicators health french economy government reiterating 25 target european central bank making positive noises 12nation eurozone whole friday frances industrial output december released showing 07 growth numbers david naude economist deutsche bank send positive signal rebound output open continuation trend service sector activity improved january hitting sevenmonth high unemployment remains high
24,business,judge dismissed attempt russian oil giant yukos gain bankruptcy protection yukos filed chapter 11 protection houston unsuccessful attempt halt auction yugansk division russian authorities court ruling blow efforts damages sale yugansk yukos claims illegally sold separately former yukos boss mikhail khodorkovsky began testimony friday trial fraud tax evasion khodorkovsky jail pleaded guilty charges brought denied involvement criminal activities pride myself heading 15 years number successful companies helping enterprises rise knees russian court yugansk auctioned help pay 275bn 145bn unpaid taxes bought 94bn previouslyunknown group turn bought almost immediately statecontrolled oil company rosneft texas judge letitia clark yukos enough presence establish jurisdiction vast majority business financial activities yukos continue occur russia judge clark ruling activities require continued participation russian government yukos argued court entitled declare bankrupt yugansk unit sold local bank accounts chief finance officer bruce misamore lives houston yukos claimed sought help forums russian courts european court human rights either unfriendly offered less protection russia indicated case abide rulings courts ruling judge acknowledged appears likely agencies russian government acted manner considered confiscatory united states law role simply decide jurisdiction courts jurisdiction challenged deutsche bank gazpromneft former unit russian gas monopoly gazprom due merge rosneft analysts ability gazprom rosneft trade freely overseas stifled ownership yugansk remained unclear yukos consider options light ruling however claimed court backed argument key issues believe merits case strong simple chief executive steven theede assets illegally seized damages paid
25,business,worlds biggest carmaker general motors gm recalling nearly 200000 vehicles safety grounds according federal regulators national highway traffic safety administration nhtsa largest recall involves 155465 pickups vans sports utility vehicles suvs possible malfunctions braking systems affected vehicles product recall 2004 model years gm vehicles potential faults chevrolet avalanche express kodiak silverade suburban gmc savana sierra yukon nhtsa pressure accumulator braking system crack normal driving fragments injure hood open allow hydraulic fluid leak harder brake steer cause crash warned gm recalling 19924 cadillac xlr coupes srx suvs pontiac grand prix sedans 2004 model accelerator pedal work properly extremely cold temperatures requiring braking addition car giant calling 17815 buick raniers chevrolet trailblazers gmc envoys isuzu ascenders model years windshield properly fitted fall crash however gm stressed injuries related problems news recall follows announcement month gm expects earnings lower 2004 worlds biggest car maker grappling losses european business weak sales product recall january gm higher healthcare costs north america lower profits financial services subsidiary hurt performance
26,business,mittal steel worlds largest steel producers cut 45000 jobs years chief executive netherlandsbased company due complete 45bn acquisition firm isg month making largest global firms kind however lakshmi mittal investors combined company shed thousands jobs indianborn magnate job losses fall mittal investors once acquisition international steel group completed company aim reduce workforce 7000 8000 annually workforce trimmed 155000 110000 staff 2010 investing modernisation employees mittal conference chicago mittal steel formed mittals lnm holdings merged dutch firm ispat combination mittal steel isg annual sales 32bn 167bn 241bn euros production capacity 70 tonnes mittal steel spokeman decisions job cuts yet trying create sustainable steel industry invest technology spokesman mittal steel operations 14 countries businesses particularly eastern europe previously state owned huge workforces employs 50000 staff kazakhstan alone large operations romania czech republic south africa united states
27,business,crude oil prices surged above 47 barrel mark thursday energy market watchdog raised forecasts global demand international energy agency iea warned demand opecs crude quarter outstrip supply iea raised estimate oil demand growth 80000 barrels day 84 barrels day light crude rose 164 4710 brent crude london gained 132 4445 parisbased iea watchdog advises industrialized nations energy policy upward revision due stronger demand china asian countries fresh rally crude prices followed gains wednesday triggered large falls crude supplies following cold spell north america january department energy reported crude stockpiles fallen 1m barrels 2943m top ongoing problems beleaguered russian oil giant yukos prompted iea revise output estimates russia major nonopec supplier think prices beginning set range looks 40 50 level energy analyst orin middleton barclays capital
28,business,venezuelan authorities seize land owned british company part president chavezs agrarian reform programme officials cojedes state friday farmland owned subsidiary vestey group taken settle poor farmers government cracking socalled latifundios large rural estates says lying idle vestey group informed planned seizure firm whose agroflora subsidiary operates 13 farms venezuela insisted complied fully venezuelan law prosecutors south country targeted hato el charcote beef cattle ranch owned agroflora according reuters plan seize 12900 acres 5200 hectares 32000 acre 13000 hectare farm officials claim agroflora does possess valid documents proving ownership land question allege areas ranch form active production legal boundaries match actual boundaries surplus state prosecutor alexis ortiz reuters consequence government taken action controversial reforms passed 2001 give government right control private property declared idle ownership cannot traced 19th century critics powers president chavez argues needed help countrys poorest citizens develop venezuelan economy trample private property rights vestey group owned land 1920 cooperate fully authorities spokesman agroflora absolutely confident submitted demonstrate legality title land company pointed farm employs 300 workers provides meat solely venezuelan market month government identified 500 idle farms yet consider status further 40000 authorities landowners whose titles order whose farms productive nothing fear president chavez venezuelan government steadily expanded states involvement countrys economy recently mining contracts involving foreign firms examined ensure provided sufficient economic benefits state
29,business,soaring cost oil hit global economic growth although worlds major economies weather storm price rises according oecd latest biannual report oecd cut growth predictions worlds main industrialised regions growth reach 44 2004 fall 33 previous estimate 37 oecd however parisbased economics think tank believed global economy regain momentum forecasts japanese growth scaled 40 44 21 28 outlook worst 12member eurozone bloc sluggish growth forecasts slipping 18 20 19 24 oecd overall report forecast total growth 36 2004 30 member countries oecd slipping 29 recovering 31 2006 nonetheless reasons believe recent oil price turbulence world economy regain momentum nottoodistant future jeanphilippe cotis oecds chief economist price crude 50 higher start 2004 record high 5567 set late october dip oil prices improving jobs prospects improve consumer confidence spending oecd oil shock enormous historical standards seen worse seventies oil price does rise further think shock absorbed within few quarters vincent koen senior economist oecd bbcs world business report recovery underway interrupted bit oil shock regain momentum course chinas booming economy spectacular comeback japan albeit faltered recent months help world economic recovery oecd supported strong balance sheets high profits recovery business investment continue north america start earnest europe however report warned remains seen whether continental europe play strong supportive role through marked upswing final domestic demand oecd highlighted current depressed household expenditure germany eurozones overreliance exportled growth
30,business,irish shares risen record high investors persuaded buy market low inflation strong growth forecasts iseq index leading shares closed 23 points 666189 thursday fuelled strong growth banking financial stocks fall rate inflation 23 january gave fresh boost shares advanced 4 month economy set strong growth interest rates remain low several irelands biggest companies saw market value hit recent highs thursday allied irish banks irelands biggest company capitalisation touched peak bank ireland shares rose highest level august 2002 telecoms firm eircom recently revealed reenter irish mobile phone market hit yearly high analysts economic conditions benign irish shares trading discount european markets ireland ticks boxes far international investors concerned roy asher chief investment officer hibernian investment managers reuters buoyant economic conditions set continue ireland few years irish equities continue offer quality growth reasonable valuation bernard mcalinden head equity research ncb stockbrokers equities represented value compared investments looking reuters seen economic data ireland benefits financial stocks irelands economic miracle enjoying second wind 5 growth forecast 2006 economy cooled markedly 2001 enjoying spectacular growth 2000 however bounced strongly growth 5 expected 2004
31,business,japans sumitomo mitsui financial withdrawn takeover offer rival bank ufj holdings enabling latter merge mitsubishi tokyo sumitomo bosses counterparts ufj decision friday clearing conclude 3 trillion yen 29bn deal mitsubishi deal create worlds biggest bank assets 189 trillion yen 18 trillion sumitomos exit ends high profile fight japanese bank history ufj holdings japans fourthlargest bank centre fierce bid battle sumitomo japans thirdlargest bank tabled higher offer ufj rival valuing company 35bn however ufjs management known prefer offer mitsubishi tokyo financial group mtfg japans secondlargest bank concerns raised sumitomos ability absorb ufj former admitted defeat believe market investors accept ufjmtfg merger sumitomo statement given ongoing integration ufj mtfg operations persisting proposal interests shareholders ufjs mitsubishis takeover ufj japans largestever takeover deal approved shareholders firms however expected formality sumitomo turn attention deepening ties daiwa securities japanese financial firm set merge venture capital operations speculation lead fullblown merger japanese banks increasingly seeking alliances boost profits
32,business,half money aside colombian government help countrys poor benefiting need study found total 242 trillion pesos 102bn 55bn earmarked subsidies poor government department planning found 121 trillion pesos richest part population rather need sound distribution cash cut poverty levels 36 53 government believes resources enough reduce poverty need tax reforms better distribution deputy planning director jose leibovich colombia population 44 half lives below poverty line however large properties paying less tax situated inside poor areas benefit cheaper utilities electricity water government research found government expenditure areas pensions public services education property health revised leibovich government examining report warned easy solution problem distribution subsidies economic growth 2 2019 poverty fall low 153
33,business,2000 jobs mg rovers midlands plant cut investment firm chinese car maker goes ahead financial times reported shanghai automotive industry corp plans shift production rover 25 china export uk sources close negotiations tell ft rover bbc news reports job cuts speculation tieup seen rovers chance save longbridge plant pushed uk chancellor gordon brown rover confirmed tieup place far away rover bosses confident 1bn 19bn investment deal signed march early april transport general workers union general secretary tony woodley repeated view friday mergers led job cuts investment models needed ensure future birmingham plant crucial delicate efforts targeted securing models company mean jobs saic says none money paid owners rover accused unions awarding themselves exorbitant salaries ft reports saic extremely concerned ensure money invest business rather distributed shareholders newspaper quotes source close chinese firm meanwhile according chinese state press reports small stateowned carmaker nanjing auto negotiations rover saic 20 stake joint venture saic unavailable comment job cuts contacted bbc news rover saic signed technologysharing agreement august
34,business,uk advertising giant wpp posted largerthanexpected annual profits predicted outperform market pretax profits rose 15 ago reach 546m 104bn ahead average analysts forecasts 532m revenues 43bn firms operating margins 141 reach 148 2006 wpp bought rival grey global creating giant enough rival sector leader omnicom chief executive martin sorrell friday reuters news agency wpp submitted proposal united business medias nop world market research unit analysts unit sell sell 350m wpp recent years bought firms ogilvy mather cordiant communications includes firms young rubicam j walter thompson events olympics helped boost wpps profits 2004 company congressional elections fifa world cup likely present advertising opportunities near future longterm outlook looks favourable media technology developments strength economy wpp
35,business,foreign firms given extra meet tough corporate governance regulations imposed stock market watchdog securities exchange commission extended deadline line rules until 15 july 2006 foreign firms protested sec imposing unfair burden rules result sarbanesoxley act part cleanup corporate scandals enron worldcom section 404 sox act legislation nicknamed calls firms certify financial reporting line rules firms meet requirements smaller ones foreignbased firms list shares stock markets originally until middle past few months delegations european business leaders heading secs washington dc headquarters protest burden expensive timescale short particularly uks cbi warned companies choose let listings drop rather line section 404 latest delegation cbi met sec officials wednesday decision relax deadline announced think signifies change heart sec cbi directorgeneral sir digby jones bbcs today programme listening overseas companies reminded america globalisation means cant these rules isolation sec taken consideration fact foreign companies working meet onerous financial reporting rules home countries european union particular imposing international financial reporting standards noted underestimate effort compliance require extension provide additional issuers hard look internal controls donald nicolaisen secs chief accountant
36,business,japans bestknown businessmen arrested thursday charges falsifying shareholder information selling shares based false data yoshiaki tsutsumi once ranked worlds richest man ran business spanning hotels railways construction baseball team latest series arrests top executives japan business scandals taken away van outside prince hotels tokyo tsutsumi seemed untouchable inheriting large property business father 1960s became japans powerful industrialists close connections countrys leading politicians wealth influence bring winter olympic games nagano 1998 forced resign posts held business empire accused falsifying shareownership structure seibu railways companies japanese stock market rules listed company 80 owned largest shareholders tsutsumi faces criminal charges possibility prison sentence look biggest shareholders owned less amount seibu railways delisted stock exchange share value plunged target takeover bid tsutsumis fall grace follows arrests several top executives japan authorities try curb murky business practices once widespread japanese companies determination stay top costs roots childhood illegitimate son rich father money buying property japan rebuilt world war ii described demands father felt enormous pressure dined nothing pain tsutsumi weekly magazine 1987 scolded pouring soy sauce fruit children didnt let silk futon saying luxury corporate governance issues japanese companies twelve managers mitsubishi motors charged covering safety defects vehicles executives japans troubled ufj bank charged concealing extent banks bad loans
37,business,german telecoms firm deutsche telekom saw strong fourth quarter profits upbeat mobile earnings betterthanexpected asset sales net profit 14bn euros 960m 185bn dramatic change loss 364m euros sales rose 28 1496bn euros sales stakes firms russias oao mobile telesystems raised 117bn euros expected helped bring debt 358bn euros ago debt 11bn euros higher tmobile usa companys american mobile business strong contribution profits seminal achievement cut debt low gives head room invest growth hannes wittig telecoms analyst dresdner kleinwort wasserstein company resume paying dividend years focused cutting debt
